model,scenario,run,mean_distance,mean_p_value,prop_overest_variance
MPI-ESM1-2-HR,ssp370,1,0.3469803902097638,0.2643511178024896,0.6599472280542473
MPI-ESM1-2-HR,ssp585,1,0.3505491166846356,0.2646244152850404,0.6139041782519057
MPI-ESM1-2-HR,ssp245,2,0.37711761618339673,0.21171760994695996,0.5078117611454728
MPI-ESM1-2-HR,ssp370,2,0.3701669456581361,0.2195199414278356,0.5238655923130757
MPI-ESM1-2-HR,ssp585,2,0.3707209092284704,0.21788170438911209,0.5055183566929581
MPI-ESM1-2-HR,ssp370,3,0.37179833645425486,0.2205787341757155,0.6356371408575914
MPI-ESM1-2-LR,ssp245,1,0.36646818078647225,0.2237995111212719,0.5466861487828406
MPI-ESM1-2-LR,ssp370,1,0.3638064130208629,0.22836346114961573,0.5725614254099756
MPI-ESM1-2-LR,ssp585,1,0.36213577427225785,0.23223954991154405,0.5339140138833721
MPI-ESM1-2-LR,ssp245,2,0.37693260700977893,0.20326205914495404,0.5477122699502543
MPI-ESM1-2-LR,ssp370,2,0.38580914619153,0.19371470867325136,0.5499820310578978
MPI-ESM1-2-LR,ssp585,2,0.37610390777204034,0.207168623539909,0.5342355633736215
MPI-ESM1-2-LR,ssp245,3,0.3594205725472394,0.22679749548929762,0.5490552119389435
MPI-ESM1-2-LR,ssp370,3,0.36353498742174056,0.221397303535765,0.49664264502827743
MPI-ESM1-2-LR,ssp585,3,0.363005140063175,0.2273813118906017,0.47645595717717376
MRI-ESM2-0,ssp245,1,0.41115433902665083,0.17109783980683352,0.4895638275738145
MRI-ESM2-0,ssp370,1,0.4020096843140593,0.18073804942603103,0.4942972252170459
MRI-ESM2-0,ssp585,1,0.40056531237587245,0.18417087998289183,0.4895165408840719
NorESM2-LM,ssp245,1,0.41746663924038663,0.1651929134046833,0.7028267983128109
NorESM2-LM,ssp370,1,0.3984160141103482,0.19275228585374884,0.7209754298360097
NorESM2-LM,ssp585,1,0.4189717745748927,0.15709619050286686,0.7120949895023548
NorESM2-LM,ssp245,2,0.4048064555788837,0.18938623320676795,0.6033828897841835
NorESM2-LM,ssp245,3,0.4090059864949214,0.17617865110363287,0.7281866500217519
NorESM2-MM,ssp245,1,0.4179548743119787,0.14466918320094488,0.6922629518243205
NorESM2-MM,ssp370,1,0.42125193875427946,0.14358968605716677,0.6735468800242108
NorESM2-MM,ssp585,1,0.4213530140536042,0.1429056025260928,0.6650447332084964
NorESM2-MM,ssp245,2,0.41109050199549835,0.15169441414121168,0.7167811004558436
TaiESM1,ssp245,1,0.3713014715617848,0.20700111281354305,0.6746297452193156
TaiESM1,ssp370,1,0.36503373905313136,0.21288124168220132,0.7041129962738089
